,Country,Amount,Type
0,Australia,2446.616312,donated
1,Australia,-2572.618261,received
2,Austria,784.068952,donated
3,Austria,-770.267419,received
4,Belgium,2144.4452699999997,donated
5,Belgium,-184.34623299999998,received
6,Brazil,1.13444,donated
7,Brazil,-36607.258078,received
8,Canada,7466.338199999999,donated
9,Canada,-4068.6529659999997,received
10,Chile,-7334.129129999999,received
11,Chile,0.564349,donated
12,Colombia,0.190795,donated
13,Colombia,-25530.536307,received
14,Cyprus,-968.154947,received
15,Cyprus,0.005599,donated
16,Czech Republic,-2141.913341,received
17,Czech Republic,8.930435,donated
18,Denmark,-166.310586,received
19,Denmark,2952.416405,donated
20,Estonia,-251.349503,received
21,Estonia,0.27894199999999997,donated
22,Finland,-180.695493,received
23,Finland,665.953415,donated
24,France,-237.540854,received
25,France,15456.459635,donated
26,Germany,47218.438820999996,donated
27,Germany,-0.060163999999999995,received
28,Greece,32.667184999999996,donated
29,Greece,-519.3779059999999,received
30,Hungary,0.324552,donated
31,Hungary,-2925.327491,received
32,Iceland,-18.060045,received
33,Iceland,0.172501,donated
34,India,-133980.469969,received
35,India,0.0,donated
36,Ireland,295.144458,donated
37,Ireland,-934.638729,received
38,Italy,3835.655974,donated
39,Italy,-2400.8264169999998,received
40,Japan,114182.254172,donated
41,Japan,-2081.102258,received
42,Korea,-25294.323452999997,received
43,Korea,1299.04772,donated
44,Kuwait,1369.078319,donated
45,Kuwait,-7771.540075999999,received
46,Latvia,0.0,donated
47,Latvia,-423.49503999999996,received
48,Liechtenstein,-18.393083,received
49,Liechtenstein,4.370699999999999,donated
50,Lithuania,0.0,donated
51,Lithuania,-514.14327,received
52,Luxembourg,111.55402199999999,donated
53,Luxembourg,-555.0398319999999,received
54,Monaco,0.0,received
55,Monaco,0.941387,donated
56,Netherlands,0.0,received
57,Netherlands,8939.647189,donated
58,New Zealand,56.749885,donated
59,New Zealand,-225.58830999999998,received
60,Norway,-368.001981,received
61,Norway,4416.814418,donated
62,Poland,-24517.225188,received
63,Poland,0.403184,donated
64,Portugal,-175.242606,received
65,Portugal,68.900866,donated
66,Qatar,-733.783749,received
67,Qatar,104.519053,donated
68,Romania,0.0,donated
69,Romania,-3329.0598609999997,received
70,Saudi Arabia,1698.4106889999998,donated
71,Saudi Arabia,-4877.749103,received
72,Slovak Republic,0.395574,donated
73,Slovak Republic,-821.195623,received
74,Slovenia,-225.43519999999998,received
75,Slovenia,0.150028,donated
76,South Africa,0.0,donated
77,South Africa,-18655.55507,received
78,Spain,2014.695904,donated
79,Spain,-561.711808,received
80,Sweden,6364.045876,donated
81,Sweden,-59.757155,received
82,Switzerland,-0.326783,received
83,Switzerland,2844.0879529999997,donated
84,Taiwan,83.737498,donated
85,Taiwan,-3399.5544099999997,received
86,Thailand,-49041.31744,received
87,Thailand,0.025460999999999998,donated
88,United Arab Emirates,-300.20647199999996,received
89,United Arab Emirates,67.636986,donated
90,United Kingdom,23690.539376,donated
91,United Kingdom,-957.3439639999999,received
92,United States,116176.338066,donated
93,United States,-104.524992,received
