,Country,AmountDonated,AmountReceived,Total
0,Australia,2446616312.0,2572618261.0,5019234573.0
1,Austria,784068952.0,770267419.0,1554336371.0
2,Belgium,2144445269.9999998,184346233.0,2328791502.9999995
3,Brazil,1134440.0,36607258078.0,36608392518.0
4,Canada,7466338200.0,4068652966.0,11534991166.0
5,Chile,564349.0,7334129130.0,7334693479.0
6,Colombia,190795.0,25530536307.0,25530727102.0
7,Cyprus,5599.0,968154947.0,968160546.0
8,Czech Republic,8930435.0,2141913341.0,2150843776.0000005
9,Denmark,2952416405.0,166310586.0,3118726991.0
10,Estonia,278942.0,251349503.0,251628445.0
11,Finland,665953415.0,180695493.0,846648907.9999999
12,France,15456459635.0,237540854.0,15694000489.0
13,Germany,47218438821.0,60164.0,47218498985.0
14,Greece,32667184.999999996,519377905.99999994,552045091.0
15,Hungary,324552.0,2925327491.0,2925652043.0
16,Iceland,172501.0,18060045.0,18232546.0
17,India,0.0,133980469969.0,133980469969.0
18,Ireland,295144458.0,934638729.0,1229783187.0
19,Italy,3835655974.0,2400826417.0,6236482391.0
20,Japan,114182254172.0,2081102258.0,116263356430.0
21,Korea,1299047720.0,25294323453.0,26593371172.999996
22,Kuwait,1369078319.0,7771540076.0,9140618395.0
23,Latvia,0.0,423495040.0,423495040.0
24,Liechtenstein,4370700.0,18393083.0,22763783.0
25,Lithuania,0.0,514143270.00000006,514143270.00000006
26,Luxembourg,111554022.0,555039832.0,666593854.0
27,Monaco,941387.0,0.0,941387.0
28,Netherlands,8939647189.0,0.0,8939647189.0
29,New Zealand,56749885.0,225588310.0,282338195.0
30,Norway,4416814418.0,368001981.0,4784816399.000001
31,Poland,403184.0,24517225188.0,24517628372.0
32,Portugal,68900866.0,175242606.0,244143472.0
33,Qatar,104519053.0,733783749.0,838302802.0
34,Romania,0.0,3329059861.0,3329059861.0
35,Saudi Arabia,1698410689.0,4877749103.0,6576159792.000001
36,Slovak Republic,395574.0,821195623.0,821591197.0
37,Slovenia,150028.0,225435200.0,225585227.99999997
38,South Africa,0.0,18655555070.0,18655555070.0
39,Spain,2014695904.0,561711808.0,2576407712.0000005
40,Sweden,6364045876.0,59757155.0,6423803031.000001
41,Switzerland,2844087953.0,326783.0,2844414736.0
42,Taiwan,83737498.0,3399554410.0,3483291908.0
43,Thailand,25461.0,49041317440.0,49041342901.0
44,United Arab Emirates,67636986.0,300206472.0,367843457.99999994
45,United Kingdom,23690539376.0,957343964.0,24647883340.0
46,United States,116176338066.0,104524992.0,116280863058.00002
