,level_0,index,Country,Purpose,Code,Amount,CapitalLatitude,CapitalLongitude,CapitalName,ContinentName,CountryCode
96,96,2977,South Africa,Rail transport,21030,67008192.0,-25.7,28.216667,Pretoria,Africa,ZA
95,95,2966,South Africa,Power generation/non-renewable sources,23020,70358237.0,-25.7,28.216667,Pretoria,Africa,ZA
94,94,2925,South Africa,Industrial development,32120,92544010.0,-25.7,28.216667,Pretoria,Africa,ZA
93,93,2817,South Africa,Air transport,21050,842799607.0,-25.7,28.216667,Pretoria,Africa,ZA
55,55,1729,Kuwait,Industrial development,32120,278059881.0,29.366666666666667,47.966667,Kuwait City,Asia,KW
44,44,1489,India,Power generation/non-renewable sources,23020,8238385928.0,28.6,77.2,New Delhi,Asia,IN
45,45,1500,India,Rail transport,21030,12350057219.0,28.6,77.2,New Delhi,Asia,IN
76,76,2254,Qatar,Industrial development,32120,80976522.0,25.283333333333335,51.533333,Doha,Asia,QA
50,50,1583,Japan,Air transport,21050,2080977585.0,35.68333333333333,139.75,Tokyo,Asia,JP
53,53,1670,South Korea,Power generation/non-renewable sources,23020,1397886659.0,37.55,126.983333,Seoul,Asia,KR
83,83,2517,Saudi Arabia,Industrial development,32120,476595845.0,24.65,46.7,Riyadh,Asia,SA
54,54,1674,South Korea,Rail transport,21030,1037622161.0,37.55,126.983333,Seoul,Asia,KR
109,109,3394,United Arab Emirates,Industrial development,32120,1460185.0,24.466666666666665,54.366667,Abu Dhabi,Asia,AE
56,56,1739,Kuwait,Power generation/non-renewable sources,23020,24748632.0,29.366666666666667,47.966667,Kuwait City,Asia,KW
77,77,2259,Qatar,Power generation/non-renewable sources,23020,623401645.0,25.283333333333335,51.533333,Doha,Asia,QA
52,52,1652,South Korea,Industrial development,32120,1478248221.0,37.55,126.983333,Seoul,Asia,KR
51,51,1597,South Korea,Air transport,21050,5260158081.0,37.55,126.983333,Seoul,Asia,KR
104,104,3135,Thailand,Air transport,21050,4028504746.0,13.75,100.516667,Bangkok,Asia,TH
43,43,1443,India,Industrial development,32120,7449680293.0,28.6,77.2,New Delhi,Asia,IN
85,85,2536,Saudi Arabia,Rail transport,21030,386553.0,24.65,46.7,Riyadh,Asia,SA
101,101,3057,Taiwan,Air transport,21050,1631451348.0,25.033333333333335,121.516667,Taipei,Asia,TW
102,102,3083,Taiwan,Industrial development,32120,617804370.0,25.033333333333335,121.516667,Taipei,Asia,TW
42,42,1318,India,Air transport,21050,2617011450.0,28.6,77.2,New Delhi,Asia,IN
103,103,3097,Taiwan,Rail transport,21030,212202942.0,25.033333333333335,121.516667,Taipei,Asia,TW
106,106,3298,Thailand,Power generation/non-renewable sources,23020,900507369.0,13.75,100.516667,Bangkok,Asia,TH
84,84,2531,Saudi Arabia,Power generation/non-renewable sources,23020,126190249.0,24.65,46.7,Riyadh,Asia,SA
107,107,3306,Thailand,Rail transport,21030,5577111137.0,13.75,100.516667,Bangkok,Asia,TH
108,108,3377,United Arab Emirates,Air transport,21050,522553.0,24.466666666666665,54.366667,Abu Dhabi,Asia,AE
82,82,2483,Saudi Arabia,Air transport,21050,3423114025.0,24.65,46.7,Riyadh,Asia,SA
105,105,3253,Thailand,Industrial development,32120,3297843354.0,13.75,100.516667,Bangkok,Asia,TH
1,1,1,Australia,Industrial development,32120,8970500.0,-35.266666666666666,149.133333,Canberra,Australia,AU
2,2,4,Australia,Rail transport,21030,68372551.0,-35.266666666666666,149.133333,Canberra,Australia,AU
66,66,2040,New Zealand,Air transport,21050,22137111.0,-41.3,174.783333,Wellington,Australia,NZ
0,0,0,Australia,Air transport,21050,2414954172.0,-35.266666666666666,149.133333,Canberra,Australia,AU
67,67,2041,New Zealand,Industrial development,32120,203451199.0,-41.3,174.783333,Wellington,Australia,NZ
11,11,275,Canada,Industrial development,32120,1961661.0,45.416666666666664,-75.7,Ottawa,Central America,CA
10,10,274,Canada,Air transport,21050,4066635837.0,45.416666666666664,-75.7,Ottawa,Central America,CA
33,33,1136,France,Air transport,21050,237532627.0,48.86666666666667,2.333333,Paris,Europe,FR
32,32,1132,Finland,Air transport,21050,180621823.0,60.166666666666664,24.933333,Helsinki,Europe,FI
79,79,2371,Romania,Industrial development,32120,257675803.0,44.43333333333333,26.1,Bucharest,Europe,RO
78,78,2287,Romania,Air transport,21050,269489522.0,44.43333333333333,26.1,Bucharest,Europe,RO
75,75,2236,Portugal,Industrial development,32120,270172.0,38.71666666666667,-9.133333,Lisbon,Europe,PT
60,60,1842,Latvia,Rail transport,21030,330198.0,56.95,24.1,Riga,Europe,LV
64,64,1996,Lithuania,Rail transport,21030,252942.0,54.68333333333333,25.316667,Vilnius,Europe,LT
73,73,2182,Poland,Rail transport,21030,3017562.0,52.25,21.0,Warsaw,Europe,PL
69,69,2062,Poland,Air transport,21050,819515491.0,52.25,21.0,Warsaw,Europe,PL
68,68,2042,Norway,Air transport,21050,343290701.0,59.916666666666664,10.75,Oslo,Europe,NO
80,80,2403,Romania,Power generation/non-renewable sources,23020,262466786.0,44.43333333333333,26.1,Bucharest,Europe,RO
81,81,2416,Romania,Rail transport,21030,2743159.0,44.43333333333333,26.1,Bucharest,Europe,RO
72,72,2179,Poland,RESCHEDULING AND REFINANCING,60040,14702202315.0,52.25,21.0,Warsaw,Europe,PL
88,88,2652,Slovakia,Power generation/non-renewable sources,23020,961978.0,48.15,17.116667,Bratislava,Europe,SK
87,87,2633,Slovakia,Industrial development,32120,4864640.0,48.15,17.116667,Bratislava,Europe,SK
20,20,774,Cyprus,Air transport,21050,84362.0,35.166666666666664,33.366667,Nicosia,Europe,CY
99,99,3048,Spain,Power generation/non-renewable sources,23020,404165959.0,40.4,-3.683333,Madrid,Europe,ES
89,89,2660,Slovakia,Rail transport,21030,17509.0,48.15,17.116667,Bratislava,Europe,SK
