,year,Country,received,donated,total
278,1992,Poland,9141850218.0,0.0,9141850218.0
274,1992,Kuwait,7406838194.0,6635123.0,7413473317.0
398,1997,Thailand,6371021429.0,0.0,6371021429.0
433,1999,Korea,5783774361.0,0.0,5783774361.0
601,2007,India,5386224705.0,0.0,5386224705.0
272,1992,India,5341953099.0,0.0,5341953099.0
614,2008,India,5044559917.0,0.0,5044559917.0
650,2012,India,4970365576.0,0.0,4970365576.0
385,1997,India,4794906726.0,0.0,4794906726.0
152,1984,India,4584531386.0,0.0,4584531386.0
656,2013,India,4550646147.0,0.0,4550646147.0
193,1987,India,4191375895.0,0.0,4191375895.0
363,1996,India,4151165519.0,0.0,4151165519.0
590,2006,India,4144135136.0,0.0,4144135136.0
316,1994,India,4096778597.0,0.0,4096778597.0
205,1988,India,3844238228.0,0.0,3844238228.0
635,2010,India,3826639675.0,0.0,3826639675.0
445,1999,Thailand,3761639876.0,0.0,3761639876.0
626,2009,India,3706828324.0,0.0,3706828324.0
96,1981,India,3706661088.0,0.0,3706661088.0
14,1974,India,3697747278.0,0.0,3697747278.0
252,1991,India,3660869551.0,0.0,3660869551.0
643,2011,India,3652445742.0,0.0,3652445742.0
345,1995,Poland,3376022477.0,0.0,3376022477.0
579,2005,India,3340560624.0,0.0,3340560624.0
307,1993,Thailand,3338548445.0,0.0,3338548445.0
36,1977,India,3197135157.0,0.0,3197135157.0
221,1989,India,3091093501.0,0.0,3091093501.0
240,1990,Poland,3069497876.0,0.0,3069497876.0
181,1986,India,3003947484.0,0.0,3003947484.0
22,1975,India,3000656166.0,0.0,3000656166.0
69,1980,India,2968245303.0,0.0,2968245303.0
45,1978,India,2927325215.0,0.0,2927325215.0
559,2004,India,2884182630.0,0.0,2884182630.0
121,1982,India,2822105457.0,0.0,2822105457.0
309,1994,Brazil,2807702721.0,0.0,2807702721.0
440,1999,Saudi Arabia,2722986716.0,0.0,2722986716.0
340,1995,India,2704173002.0,0.0,2704173002.0
137,1983,India,2653699004.0,0.0,2653699004.0
73,1980,Korea,2625763424.0,0.0,2625763424.0
533,2003,India,2616814261.0,0.0,2616814261.0
223,1989,Poland,2608739881.0,0.0,2608739881.0
333,1995,Brazil,2573830958.0,0.0,2573830958.0
90,1981,Canada,2540405789.0,546970726.0,3087376515.0
408,1998,India,2478951563.0,0.0,2478951563.0
647,2012,Brazil,2443208137.0,0.0,2443208137.0
421,1998,Thailand,2437534353.0,0.0,2437534353.0
506,2002,India,2324315788.0,0.0,2324315788.0
4,1973,India,2285256534.0,0.0,2285256534.0
29,1976,India,2233586413.0,0.0,2233586413.0
480,2001,India,2198367696.0,0.0,2198367696.0
235,1990,India,2036236423.0,0.0,2036236423.0
378,1997,Brazil,2033092975.0,0.0,2033092975.0
430,1999,India,1932216592.0,0.0,1932216592.0
356,1996,Brazil,1902899155.0,0.0,1902899155.0
449,2000,Colombia,1899134643.0,0.0,1899134643.0
263,1991,Thailand,1898189675.0,0.0,1898189675.0
167,1985,India,1837835819.0,0.0,1837835819.0
470,2000,Thailand,1792837766.0,0.0,1792837766.0
243,1990,Thailand,1790643316.0,0.0,1790643316.0
401,1998,Brazil,1758374210.0,0.0,1758374210.0
376,1996,Thailand,1671334558.0,0.0,1671334558.0
100,1981,Korea,1656173571.0,0.0,1656173571.0
53,1979,India,1622748901.0,0.0,1622748901.0
588,2006,Colombia,1617817757.0,0.0,1617817757.0
130,1982,Thailand,1595007194.0,0.0,1595007194.0
473,2001,Brazil,1574635711.0,0.0,1574635711.0
498,2002,Brazil,1545038937.0,0.0,1545038937.0
15,1974,Korea,1455639048.0,0.0,1455639048.0
330,1994,Thailand,1416098158.0,0.0,1416098158.0
244,1991,Brazil,1398521154.0,0.0,1398521154.0
5,1973,Korea,1363706959.0,0.0,1363706959.0
657,2013,South Africa,1350212256.0,0.0,1350212256.0
294,1993,India,1327287513.0,0.0,1327287513.0
423,1999,Brazil,1319316622.0,0.0,1319316622.0
214,1988,Thailand,1297612686.0,0.0,1297612686.0
56,1979,Thailand,1283439829.0,0.0,1283439829.0
628,2009,South Africa,1281799284.0,0.0,1281799284.0
625,2009,Colombia,1279008966.0,0.0,1279008966.0
119,1982,Colombia,1228919949.0,0.0,1228919949.0
523,2002,Thailand,1205361664.0,0.0,1205361664.0
612,2008,Colombia,1190054198.0,6798.0,1190060996.0
111,1981,Thailand,1178204797.0,0.0,1178204797.0
143,1983,Thailand,1165432587.0,0.0,1165432587.0
174,1985,Thailand,1151123605.0,0.0,1151123605.0
161,1985,Brazil,1150188786.0,0.0,1150188786.0
620,2008,South Africa,1148281785.0,0.0,1148281785.0
454,2000,India,1141656334.0,0.0,1141656334.0
159,1984,Thailand,1135099078.0,0.0,1135099078.0
633,2010,Colombia,1128442346.0,106531.0,1128548877.0
447,2000,Brazil,1106359401.0,0.0,1106359401.0
237,1990,Korea,1095572646.0,0.0,1095572646.0
528,2003,Colombia,1086177861.0,0.0,1086177861.0
318,1994,Korea,1076359694.0,0.0,1076359694.0
606,2007,South Africa,1070653291.0,0.0,1070653291.0
631,2010,Brazil,1059210583.0,914681.0,1060125264.0
577,2005,Colombia,1056910201.0,0.0,1056910201.0
358,1996,Colombia,1052281529.0,0.0,1052281529.0
655,2013,Colombia,1039328005.0,0.0,1039328005.0
630,2009,Thailand,1038513059.0,0.0,1038513059.0
89,1981,Brazil,1019510084.0,0.0,1019510084.0
386,1997,Korea,1019452888.0,0.0,1019452888.0
198,1987,Thailand,1016033769.0,0.0,1016033769.0
283,1992,Thailand,1014335727.0,0.0,1014335727.0
171,1985,Poland,1014259163.0,0.0,1014259163.0
640,2011,Brazil,1013210831.0,0.0,1013210831.0
649,2012,Colombia,1009768225.0,0.0,1009768225.0
374,1996,South Africa,974078843.0,0.0,974078843.0
638,2010,South Africa,971208512.0,0.0,971208512.0
651,2012,South Africa,955734671.0,0.0,955734671.0
553,2004,Colombia,951773147.0,0.0,951773147.0
645,2011,South Africa,943390545.0,0.0,943390545.0
30,1976,Korea,938952566.0,0.0,938952566.0
621,2008,Thailand,938244893.0,0.0,938244893.0
492,2001,South Africa,935444476.0,0.0,935444476.0
583,2005,South Africa,927379768.0,0.0,927379768.0
169,1985,Korea,907605958.0,0.0,907605958.0
83,1980,Thailand,902852253.0,0.0,902852253.0
71,1980,Italy,894504816.0,0.0,894504816.0
155,1984,Korea,891180603.0,0.0,891180603.0
425,1999,Colombia,881928095.0,0.0,881928095.0
17,1974,Thailand,867668418.0,0.0,867668418.0
482,2001,Korea,864874549.0,0.0,864874549.0
48,1978,Thailand,859278853.0,0.0,859278853.0
593,2006,South Africa,853103554.0,0.0,853103554.0
501,2002,Colombia,835264836.0,0.0,835264836.0
163,1985,Colombia,835091486.0,0.0,835091486.0
46,1978,Korea,801254989.0,0.0,801254989.0
597,2007,Colombia,800292991.0,77466.0,800370457.0
353,1995,Thailand,792655526.0,0.0,792655526.0
623,2009,Brazil,783901399.0,0.0,783901399.0
526,2003,Brazil,779392718.0,0.0,779392718.0
469,2000,Taiwan,779075653.0,0.0,779075653.0
188,1986,Thailand,762121484.0,0.0,762121484.0
585,2005,Thailand,750726362.0,0.0,750726362.0
642,2011,Colombia,749156157.0,0.0,749156157.0
86,1981,Australia,747648005.0,18425831.0,766073836.0
467,2000,South Africa,737221627.0,0.0,737221627.0
286,1993,Brazil,726672442.0,0.0,726672442.0
575,2005,Brazil,723697976.0,0.0,723697976.0
572,2004,Thailand,722232350.0,0.0,722232350.0
39,1977,Thailand,715883953.0,0.0,715883953.0
464,2000,Saudi Arabia,707503988.0,0.0,707503988.0
391,1997,Qatar,705173409.0,0.0,705173409.0
653,2013,Brazil,703048320.0,0.0,703048320.0
496,2002,Australia,696882923.0,45235182.0,742118105.0
396,1997,South Africa,694290770.0,0.0,694290770.0
189,1987,Brazil,688641987.0,0.0,688641987.0
266,1992,Chile,686092378.0,0.0,686092378.0
486,2001,Poland,670468736.0,0.0,670468736.0
443,1999,South Africa,669943614.0,0.0,669943614.0
419,1998,South Africa,666789364.0,0.0,666789364.0
139,1983,Korea,665624126.0,0.0,665624126.0
508,2002,Korea,657470006.0,0.0,657470006.0
289,1993,Colombia,648542403.0,0.0,648542403.0
551,2004,Brazil,646604536.0,0.0,646604536.0
520,2002,South Africa,644990736.0,0.0,644990736.0
145,1984,Brazil,643593148.0,0.0,643593148.0
488,2001,Romania,636869083.0,0.0,636869083.0
461,2000,Poland,632761107.0,0.0,632761107.0
351,1995,South Africa,626257607.0,0.0,626257607.0
228,1989,Thailand,626032718.0,0.0,626032718.0
162,1985,Chile,624811340.0,0.0,624811340.0
251,1991,Hungary,624227866.0,0.0,624227866.0
129,1982,Taiwan,617069786.0,0.0,617069786.0
545,2003,South Africa,608581390.0,0.0,608581390.0
444,1999,Taiwan,603873086.0,30163151.0,634036237.0
499,2002,Canada,587432031.0,242075816.0,829507847.0
335,1995,Colombia,586866583.0,0.0,586866583.0
475,2001,Colombia,585022135.0,0.0,585022135.0
116,1982,Brazil,577695039.0,0.0,577695039.0
609,2008,Brazil,575890217.0,168870.0,576059087.0
245,1991,Chile,575859750.0,0.0,575859750.0
639,2010,Thailand,560953853.0,20992.0,560974845.0
113,1981,United Kingdom,558141413.0,7198102.0,565339515.0
153,1984,Italy,551936148.0,225774377.0,777710525.0
2,1973,Colombia,549944785.0,0.0,549944785.0
229,1990,Brazil,546410160.0,0.0,546410160.0
306,1993,South Africa,541955585.0,0.0,541955585.0
570,2004,South Africa,540700003.0,0.0,540700003.0
231,1990,Colombia,539309295.0,0.0,539309295.0
494,2001,Thailand,532323112.0,0.0,532323112.0
61,1980,Canada,531674896.0,139264006.0,670938902.0
194,1987,Japan,525123264.0,1770174669.0,2295297933.0
317,1994,Italy,524992994.0,25806540.0,550799534.0
328,1994,South Africa,516230795.0,0.0,516230795.0
32,1977,Brazil,501438883.0,0.0,501438883.0
539,2003,Poland,492707038.0,0.0,492707038.0
267,1992,Colombia,492185858.0,0.0,492185858.0
313,1994,Czech Republic,487593167.0,0.0,487593167.0
246,1991,Colombia,484986642.0,0.0,484986642.0
195,1987,Korea,482793059.0,0.0,482793059.0
514,2002,Poland,479506516.0,0.0,479506516.0
594,2006,Thailand,475487975.0,0.0,475487975.0
586,2006,Brazil,473262403.0,0.0,473262403.0
215,1989,Brazil,470795753.0,0.0,470795753.0
99,1981,Japan,446920760.0,2935257275.0,3382178035.0
457,2000,Korea,444810035.0,0.0,444810035.0
206,1988,Korea,438174916.0,0.0,438174916.0
322,1994,Poland,431842731.0,0.0,431842731.0
564,2004,Poland,428513747.0,0.0,428513747.0
595,2007,Brazil,424596650.0,50889.0,424647539.0
37,1977,Korea,418471898.0,0.0,418471898.0
299,1993,Luxembourg,415719806.0,0.0,415719806.0
107,1981,Saudi Arabia,409548081.0,131496682.0,541044763.0
403,1998,Colombia,407763235.0,0.0,407763235.0
85,1980,United Kingdom,399202551.0,567311470.0,966514021.0
176,1986,Brazil,398238987.0,0.0,398238987.0
60,1980,Brazil,397591374.0,0.0,397591374.0
315,1994,Hungary,393976481.0,0.0,393976481.0
248,1991,Czech Republic,392264026.0,0.0,392264026.0
437,1999,Poland,377114427.0,0.0,377114427.0
82,1980,Taiwan,374058844.0,0.0,374058844.0
364,1996,Korea,369583888.0,0.0,369583888.0
301,1993,Poland,367250867.0,0.0,367250867.0
19,1975,Chile,365408442.0,0.0,365408442.0
368,1996,Poland,359200576.0,0.0,359200576.0
362,1996,Hungary,349275403.0,0.0,349275403.0
332,1995,Australia,343759453.0,87263724.0,431023177.0
415,1998,Romania,339859562.0,0.0,339859562.0
413,1998,Poland,338026840.0,0.0,338026840.0
24,1975,Thailand,333639956.0,0.0,333639956.0
652,2012,Thailand,333622409.0,0.0,333622409.0
339,1995,Hungary,330369147.0,0.0,330369147.0
334,1995,Chile,326285394.0,0.0,326285394.0
258,1991,Poland,326279481.0,0.0,326279481.0
