year,Air transport,Import support (capital goods),Industrial development,Mineral/Metal prospection and exploration,Power generation/non-renewable sources,Power generation/renewable sources,RESCHEDULING AND REFINANCING,Rail transport,Social/ welfare services,Telecommunications
1973,0.0,291886347.0,200776443.0,0.0,27825666.0,0.0,0.0,95792628.0,0.0,205122036.0
1974,15256725.0,227194054.0,153995109.0,5135311.0,39880530.0,124861445.0,0.0,42563758.0,0.0,180475251.0
1975,15829434.0,282632241.0,141256857.0,11841107.0,33166434.0,0.0,0.0,60080677.0,0.0,33166434.0
1976,0.0,154515986.0,180729570.0,46994.0,0.0,258500419.0,0.0,65859994.0,22193818.0,101268177.0
1977,704628.0,253556338.0,352523660.0,20846552.0,0.0,348718518.0,0.0,0.0,0.0,132007996.0
1978,0.0,18579093.0,106052778.0,0.0,95676536.0,105991262.0,0.0,0.0,179918453.0,210273343.0
1979,73420234.0,264125863.0,308650682.0,33750525.0,0.0,0.0,0.0,57275683.0,13638901.0,0.0
1980,3088274857.0,0.0,816335780.0,259987614.0,1584877308.0,110811408.0,0.0,21776984.0,26972340.0,514178514.0
1981,4768108479.0,40653634.0,634174424.0,713107244.0,1096016261.0,240636248.0,0.0,230395196.0,644673.0,914341361.0
1982,514466891.0,113498832.0,1370602905.0,1117571002.0,699994088.0,484434111.0,0.0,302371098.0,31654720.0,224573780.0
1983,218134010.0,86619358.0,334406639.0,513432426.0,211715759.0,25073823.0,0.0,441780960.0,24671997.0,79964594.0
1984,976488278.0,90227902.0,1088866239.0,632576576.0,680944122.0,479805457.0,0.0,475235242.0,19766810.0,215829973.0
1985,287676519.0,77954263.0,940204559.0,605384859.0,182940134.0,53703140.0,1014259163.0,134596484.0,33496454.0,183388029.0
1986,695113150.0,44726766.0,625537865.0,737079395.0,102087624.0,164769263.0,0.0,34843304.0,14344384.0,168285454.0
1987,1012887955.0,60164507.0,380313458.0,679626885.0,51448529.0,107755657.0,0.0,85117635.0,11481589.0,110144423.0
1988,96497158.0,138310066.0,906410888.0,354874165.0,390801061.0,0.0,0.0,107365899.0,7938535.0,535073066.0
1989,98465542.0,0.0,388659858.0,431006385.0,42742542.0,910336207.0,2606246263.0,73959565.0,22345362.0,239013115.0
1990,254913681.0,50648790.0,887708073.0,21516183.0,70680811.0,7572945.0,2768322374.0,938279048.0,72342785.0,290465588.0
1991,310459678.0,163177723.0,1289413570.0,489983384.0,3767416.0,66239728.0,0.0,185736779.0,24186026.0,339762137.0
1992,1771359012.0,7482017761.0,1885616356.0,406513708.0,1494675086.0,44999636.0,8344866729.0,90394219.0,146417259.0,321971933.0
1993,2121584979.0,49168610.0,1689134694.0,36729398.0,388132738.0,90780001.0,63809098.0,341385289.0,35408778.0,240701033.0
1994,4211207268.0,0.0,1595567680.0,28010396.0,1606345960.0,195628395.0,0.0,167636496.0,58670556.0,198625039.0
1995,497807763.0,0.0,679756647.0,255739191.0,770605554.0,518374380.0,0.0,172767802.0,111991116.0,240902364.0
1996,742750235.0,0.0,829747151.0,293652853.0,919658202.0,120338108.0,0.0,391229602.0,93499965.0,992246816.0
1997,1605192456.0,0.0,766376994.0,303809928.0,1291967800.0,470215385.0,0.0,694798740.0,71418576.0,270129200.0
1998,634116769.0,0.0,308069616.0,87206.0,961929323.0,12774435.0,0.0,657668408.0,212562940.0,323717723.0
1999,5896935547.0,0.0,40875883.0,83138567.0,560713336.0,158385618.0,0.0,800042829.0,118053361.0,410867928.0
2000,3089373356.0,0.0,141462184.0,134802462.0,3523908.0,5131051.0,0.0,535115398.0,1419058679.0,449102487.0
2001,2461432288.0,0.0,494144961.0,2279474.0,425306890.0,204411855.0,0.0,78742572.0,418391339.0,116120532.0
2002,3409273587.0,0.0,29064744.0,18213538.0,308877253.0,47637502.0,0.0,317903789.0,189193002.0,334067486.0
2003,1605190.0,74620674.0,32437533.0,6453025.0,505564994.0,16126597.0,0.0,386716108.0,413408249.0,33823637.0
2004,513119049.0,0.0,7331241.0,1054547.0,1350242.0,458289920.0,0.0,678991354.0,796312991.0,3685399.0
2005,410669869.0,0.0,6703637.0,11289609.0,185195321.0,182849973.0,0.0,223491419.0,766717891.0,595366.0
2006,278918.0,0.0,9213317.0,1474041.0,616036.0,223553347.0,0.0,697248639.0,1499146442.0,198757.0
2007,777396.0,0.0,2652404.0,1498063.0,132164.0,15479641.0,0.0,161756943.0,395077858.0,243478.0
2008,947246.0,71540.0,5278467.0,1137705.0,888204.0,181083150.0,0.0,1945744781.0,709105782.0,62893.0
2009,2206650.0,0.0,7334558.0,552446.0,86235329.0,242645248.0,0.0,1726078347.0,709783323.0,486644.0
2010,1015388.0,1896.0,78456408.0,0.0,1612781.0,178425707.0,0.0,2769998813.0,260603166.0,2603981.0
2011,4105579.0,0.0,15188216.0,1217712.0,200948.0,1036425472.0,0.0,436777967.0,128044941.0,774579.0
2012,4397101.0,0.0,2569208.0,545570.0,49672035.0,389711520.0,0.0,1619976788.0,70213003.0,1611860.0
2013,5627464.0,0.0,4937413.0,2839501.0,250838515.0,336238470.0,0.0,2251372351.0,78053299.0,5520572.0
