,year,country,amount
0,1973,Brazil,312075045.0
1,1973,Chile,88056078.0
2,1973,Colombia,549944785.0
3,1973,Cyprus,9613414.0
4,1973,India,2285256534.0
5,1973,South Korea,1363706959.0
6,1973,Kuwait,325483.0
7,1973,Saudi Arabia,65097.0
8,1973,Thailand,206363405.0
9,1973,United Arab Emirates,65097.0
10,1974,Brazil,306601048.0
11,1974,Chile,257689227.0
12,1974,Colombia,203545814.0
13,1974,Cyprus,16432279.0
14,1974,India,3697747278.0
15,1974,South Korea,1455639048.0
16,1974,Taiwan,115048.0
17,1974,Thailand,867668418.0
18,1975,Brazil,100725686.0
19,1975,Chile,365408442.0
24,1975,Thailand,333639956.0
20,1975,Colombia,145779156.0
22,1975,India,3000656166.0
23,1975,South Korea,299226023.0
21,1975,Cyprus,5864941.0
25,1976,Brazil,83580485.0
26,1976,Chile,155551297.0
27,1976,Colombia,143082677.0
28,1976,Cyprus,31022257.0
29,1976,India,2233586413.0
30,1976,South Korea,938952566.0
31,1976,Thailand,110042103.0
33,1977,Chile,2568149.0
36,1977,India,3197135157.0
32,1977,Brazil,501438883.0
34,1977,Colombia,67799905.0
37,1977,South Korea,418471898.0
39,1977,Thailand,715883953.0
40,1977,United Arab Emirates,3599299.0
38,1977,Taiwan,163198.0
35,1977,Cyprus,20945184.0
41,1978,Brazil,151531351.0
42,1978,Chile,4418418.0
43,1978,Colombia,54438681.0
44,1978,Cyprus,46647.0
45,1978,India,2927325215.0
46,1978,South Korea,801254989.0
47,1978,Saudi Arabia,622892.0
48,1978,Thailand,859278853.0
49,1979,Brazil,167462062.0
52,1979,Cyprus,15837039.0
50,1979,Chile,49451759.0
51,1979,Colombia,15388003.0
53,1979,India,1622748901.0
55,1979,Saudi Arabia,12014220.0
56,1979,Thailand,1283439829.0
54,1979,South Korea,146708076.0
62,1980,Chile,17218386.0
70,1980,Ireland,30268231.0
58,1980,Austria,157632201.0
60,1980,Brazil,397591374.0
61,1980,Canada,531674896.0
57,1980,Australia,54502260.0
69,1980,India,2968245303.0
65,1980,Denmark,104288895.0
66,1980,France,116609845.0
67,1980,Greece,115371982.0
68,1980,Iceland,18060045.0
63,1980,Colombia,257368296.0
64,1980,Cyprus,87110643.0
75,1980,Norway,43725131.0
59,1980,Belgium,147868500.0
80,1980,Spain,285026867.0
71,1980,Italy,894504816.0
73,1980,South Korea,2625763424.0
74,1980,New Zealand,11703716.0
76,1980,Poland,75000451.0
77,1980,Portugal,4136160.0
79,1980,Saudi Arabia,120375527.0
78,1980,Romania,44381441.0
81,1980,Sweden,35282669.0
82,1980,Taiwan,374058844.0
83,1980,Thailand,902852253.0
84,1980,United Arab Emirates,174742.0
85,1980,United Kingdom,399202551.0
72,1980,Japan,264768921.0
86,1981,Australia,747648005.0
87,1981,Austria,163916.0
89,1981,Brazil,1019510084.0
90,1981,Canada,2540405789.0
91,1981,Chile,24802202.0
94,1981,France,120922782.0
93,1981,Cyprus,110234644.0
95,1981,Greece,26046686.0
97,1981,Ireland,58605044.0
99,1981,Japan,446920760.0
92,1981,Colombia,176100059.0
88,1981,Belgium,36477733.0
98,1981,Italy,3585196.0
96,1981,India,3706661088.0
100,1981,South Korea,1656173571.0
111,1981,Thailand,1178204797.0
102,1981,Liechtenstein,18264370.0
103,1981,Norway,130936843.0
105,1981,Portugal,144765310.0
106,1981,Romania,262077414.0
109,1981,Sweden,24474486.0
104,1981,Poland,35410.0
110,1981,Taiwan,312886996.0
112,1981,United Arab Emirates,1813286.0
101,1981,Kuwait,78425.0
113,1981,United Kingdom,558141413.0
107,1981,Saudi Arabia,409548081.0
108,1981,Spain,199457361.0
120,1982,Cyprus,31348629.0
122,1982,Italy,663971.0
114,1982,Australia,2599450.0
115,1982,Austria,58590672.0
116,1982,Brazil,577695039.0
117,1982,Canada,170174807.0
118,1982,Chile,25718071.0
121,1982,India,2822105457.0
119,1982,Colombia,1228919949.0
123,1982,South Korea,216083049.0
126,1982,Poland,70326.0
127,1982,Saudi Arabia,197083911.0
128,1982,Spain,77227580.0
129,1982,Taiwan,617069786.0
130,1982,Thailand,1595007194.0
131,1982,United Arab Emirates,936588.0
124,1982,New Zealand,213884594.0
125,1982,Norway,63586018.0
138,1983,Italy,147595542.0
132,1983,Brazil,129429939.0
133,1983,Chile,33869655.0
134,1983,Colombia,110714529.0
135,1983,Cyprus,51405078.0
136,1983,Finland,70538468.0
139,1983,South Korea,665624126.0
140,1983,Poland,63282.0
141,1983,Saudi Arabia,206745775.0
142,1983,Taiwan,54105626.0
143,1983,Thailand,1165432587.0
144,1983,United Arab Emirates,598545.0
137,1983,India,2653699004.0
145,1984,Brazil,643593148.0
150,1984,Denmark,62021691.0
149,1984,Cyprus,79282641.0
152,1984,India,4584531386.0
147,1984,Chile,314012953.0
146,1984,Canada,153022875.0
151,1984,Finland,26553629.0
148,1984,Colombia,204495135.0
153,1984,Italy,551936148.0
154,1984,Japan,166832089.0
160,1984,United Arab Emirates,505928.0
158,1984,Taiwan,247894043.0
159,1984,Thailand,1135099078.0
156,1984,Portugal,1826510.0
157,1984,Saudi Arabia,59201063.0
155,1984,South Korea,891180603.0
161,1985,Brazil,1150188786.0
162,1985,Chile,624811340.0
163,1985,Colombia,835091486.0
164,1985,Cyprus,39214175.0
165,1985,Greece,36819257.0
166,1985,Hungary,31296368.0
175,1985,United Arab Emirates,136260119.0
167,1985,India,1837835819.0
169,1985,South Korea,907605958.0
170,1985,Kuwait,524410.0
171,1985,Poland,1014259163.0
172,1985,Saudi Arabia,35529584.0
173,1985,Taiwan,28782961.0
174,1985,Thailand,1151123605.0
168,1985,Japan,269876498.0
182,1986,Japan,130559708.0
176,1986,Brazil,398238987.0
177,1986,Chile,123522992.0
178,1986,Colombia,310212012.0
179,1986,Cyprus,56716357.0
181,1986,India,3003947484.0
184,1986,Poland,7204596.0
183,1986,South Korea,119590826.0
185,1986,Portugal,21863247.0
186,1986,Saudi Arabia,36516861.0
187,1986,Taiwan,21795291.0
188,1986,Thailand,762121484.0
180,1986,Finland,83529726.0
193,1987,India,4191375895.0
189,1987,Brazil,688641987.0
190,1987,Chile,62625327.0
192,1987,Cyprus,29088415.0
191,1987,Colombia,74058995.0
194,1987,Japan,525123264.0
195,1987,South Korea,482793059.0
197,1987,Taiwan,14965414.0
198,1987,Thailand,1016033769.0
199,1987,United Arab Emirates,131760270.0
196,1987,South Africa,105825534.0
200,1988,Brazil,319508348.0
201,1988,Chile,73331550.0
202,1988,Colombia,234020126.0
203,1988,Cyprus,60836704.0
204,1988,Greece,37727914.0
205,1988,India,3844238228.0
214,1988,Thailand,1297612686.0
206,1988,South Korea,438174916.0
208,1988,Poland,11464751.0
209,1988,Portugal,2538321.0
210,1988,Qatar,9137956.0
211,1988,Saudi Arabia,42431775.0
212,1988,South Africa,110849.0
213,1988,Taiwan,29459009.0
207,1988,Kuwait,30421288.0
220,1989,Hungary,1482250.0
215,1989,Brazil,470795753.0
216,1989,Canada,1961661.0
217,1989,Chile,152229260.0
218,1989,Colombia,200318505.0
219,1989,Cyprus,32612810.0
221,1989,India,3091093501.0
222,1989,South Korea,233488453.0
224,1989,Qatar,2949100.0
225,1989,Romania,5092048.0
226,1989,South Africa,320399942.0
227,1989,Taiwan,75026666.0
228,1989,Thailand,626032718.0
223,1989,Poland,2608739881.0
236,1990,Ireland,46238132.0
229,1990,Brazil,546410160.0
230,1990,Chile,260281186.0
231,1990,Colombia,539309295.0
232,1990,Cyprus,11768247.0
233,1990,Czech Republic,549039.0
234,1990,Hungary,315616677.0
237,1990,South Korea,1095572646.0
238,1990,Kuwait,1568.0
239,1990,Latvia,543060.0
240,1990,Poland,3069497876.0
241,1990,Romania,299897.0
242,1990,South Africa,271828896.0
243,1990,Thailand,1790643316.0
235,1990,India,2036236423.0
253,1991,Ireland,6065209.0
245,1991,Chile,575859750.0
246,1991,Colombia,484986642.0
247,1991,Cyprus,24108788.0
248,1991,Czech Republic,392264026.0
249,1991,Estonia,990684.0
250,1991,Greece,303412067.0
251,1991,Hungary,624227866.0
252,1991,India,3660869551.0
244,1991,Brazil,1398521154.0
263,1991,Thailand,1898189675.0
255,1991,Kuwait,10244282.0
256,1991,Latvia,398476.0
257,1991,Lithuania,455029.0
258,1991,Poland,326279481.0
259,1991,Romania,2904763.0
260,1991,Saudi Arabia,89458009.0
261,1991,South Africa,64650922.0
262,1991,Taiwan,5446049.0
254,1991,South Korea,39850875.0
265,1992,Brazil,269771857.0
268,1992,Cyprus,29261936.0
267,1992,Colombia,492185858.0
264,1992,Australia,193553716.0
269,1992,Czech Republic,212986243.0
270,1992,Estonia,16023398.0
271,1992,Hungary,179864578.0
273,1992,South Korea,3337566.0
272,1992,India,5341953099.0
266,1992,Chile,686092378.0
274,1992,Kuwait,7406838194.0
276,1992,Lithuania,8257205.0
283,1992,Thailand,1014335727.0
278,1992,Poland,9141850218.0
275,1992,Latvia,106443347.0
277,1992,Norway,62668301.0
281,1992,Slovenia,10624910.0
282,1992,South Africa,234490451.0
279,1992,Romania,174756620.0
280,1992,Saudi Arabia,148479604.0
295,1993,Italy,277419753.0
293,1993,Hungary,322532354.0
285,1993,Austria,132570772.0
286,1993,Brazil,726672442.0
287,1993,Canada,83925439.0
288,1993,Chile,246885634.0
289,1993,Colombia,648542403.0
290,1993,Cyprus,42046495.0
291,1993,Czech Republic,170159661.0
292,1993,Estonia,38337840.0
284,1993,Australia,79262311.0
294,1993,India,1327287513.0
306,1993,South Africa,541955585.0
298,1993,Lithuania,73709134.0
299,1993,Luxembourg,415719806.0
300,1993,Norway,67085688.0
301,1993,Poland,367250867.0
302,1993,Qatar,9564499.0
303,1993,Romania,92433527.0
304,1993,Slovakia,9121048.0
305,1993,Slovenia,2609520.0
297,1993,Latvia,52648796.0
307,1993,Thailand,3338548445.0
296,1993,South Korea,3157283.0
319,1994,Kuwait,6860796.0
310,1994,Chile,98616016.0
311,1994,Colombia,303016912.0
312,1994,Cyprus,46104382.0
309,1994,Brazil,2807702721.0
314,1994,Estonia,25652518.0
315,1994,Hungary,393976481.0
317,1994,Italy,524992994.0
313,1994,Czech Republic,487593167.0
308,1994,Australia,321233163.0
318,1994,South Korea,1076359694.0
316,1994,India,4096778597.0
320,1994,Latvia,28380386.0
