,donor,recipient,amount
231,Japan,India,48830067295.0
244,Japan,Thailand,35437690727.0
443,United Kingdom,India,19921976117.0
153,Germany,India,18017983208.0
158,Germany,Poland,17230746024.0
461,United States,Colombia,17104240812.0
471,United States,India,16529832819.0
458,United States,Brazil,13548341140.0
232,Japan,Korea,13029452754.0
475,United States,Korea,11154361995.0
224,Japan,Brazil,10406029105.0
476,United States,Kuwait,7727422143.0
295,Netherlands,India,6977708986.0
490,United States,South Africa,6678780430.0
494,United States,Thailand,6495636611.0
487,United States,Saudi Arabia,4440013519.0
131,France,India,4139074370.0
146,Germany,Brazil,4063216247.0
395,Sweden,India,3827796549.0
460,United States,Chile,3690681030.0
67,Canada,India,3659444746.0
124,France,Brazil,3297628513.0
483,United States,Poland,2508547257.0
321,Norway,India,2147933250.0
136,France,Poland,2005432347.0
102,Denmark,India,2004368952.0
142,France,South Africa,1901701859.0
452,United Kingdom,South Africa,1862114265.0
203,Italy,Brazil,1843859410.0
413,Switzerland,India,1839499003.0
164,Germany,South Africa,1784147995.0
166,Germany,Thailand,1702275036.0
126,France,Colombia,1680107102.0
403,Sweden,South Africa,1416545325.0
226,Japan,Colombia,1414487282.0
147,Germany,Chile,1365472828.0
72,Canada,Poland,1307586093.0
148,Germany,Colombia,1238911524.0
210,Italy,India,1237117872.0
242,Japan,South Africa,1176312073.0
13,Australia,Thailand,1162746092.0
314,Norway,Brazil,1070847764.0
370,Spain,Colombia,1066811913.0
144,France,Thailand,1049660923.0
6,Australia,India,982075862.0
254,Kuwait,India,893157410.0
305,Netherlands,South Africa,840526986.0
249,Korea,India,838979022.0
78,Canada,Thailand,836611055.0
46,Belgium,Poland,800330632.0
355,Saudi Arabia,India,759651342.0
436,United Kingdom,Brazil,713312502.0
225,Japan,Chile,703444054.0
154,Germany,Korea,691327750.0
329,Norway,South Africa,689555304.0
62,Canada,Colombia,671086359.0
290,Netherlands,Colombia,642223602.0
42,Belgium,India,561481858.0
104,Denmark,Thailand,489489466.0
454,United Kingdom,Thailand,434207101.0
125,France,Chile,423553789.0
103,Denmark,South Africa,411760384.0
239,Japan,Saudi Arabia,373261027.0
77,Canada,South Africa,370099631.0
60,Canada,Brazil,344019962.0
51,Belgium,South Africa,340304159.0
368,Spain,Brazil,312007477.0
391,Sweden,Colombia,309592487.0
205,Italy,Colombia,306112843.0
316,Norway,Colombia,299650983.0
408,Switzerland,Colombia,291509810.0
421,Switzerland,South Africa,273016890.0
375,Spain,India,271820536.0
257,Kuwait,Thailand,260887969.0
11,Australia,South Africa,240893012.0
438,United Kingdom,Colombia,215435718.0
35,Belgium,Brazil,212928735.0
369,Spain,Chile,211911806.0
447,United Kingdom,Poland,209349961.0
246,Korea,Brazil,204472350.0
122,Finland,South Africa,198796278.0
354,Saudi Arabia,Brazil,191647004.0
405,Sweden,Thailand,184052641.0
115,Finland,India,182512666.0
390,Sweden,Chile,177465428.0
204,Italy,Chile,169818458.0
21,Austria,India,162421492.0
358,Saudi Arabia,Thailand,156480316.0
132,France,Korea,148847642.0
423,Switzerland,Thailand,143029761.0
330,Norway,Thailand,136378534.0
356,Saudi Arabia,Korea,134511154.0
306,Netherlands,Thailand,129993723.0
289,Netherlands,Chile,127976174.0
123,Finland,Thailand,126195858.0
236,Japan,Poland,116688443.0
22,Austria,Korea,111526265.0
220,Italy,South Africa,106916806.0
61,Canada,Chile,106773387.0
252,Korea,Thailand,105821945.0
37,Belgium,Colombia,102867692.0
406,Switzerland,Brazil,95419283.0
399,Sweden,Poland,94176270.0
380,Spain,Poland,88269401.0
407,Switzerland,Chile,87963745.0
288,Netherlands,Brazil,87040487.0
248,Korea,Colombia,85662550.0
33,Austria,Thailand,73958508.0
36,Belgium,Chile,59867040.0
215,Italy,Poland,57102621.0
315,Norway,Chile,56575551.0
53,Belgium,Thailand,53295601.0
14,Austria,Brazil,52226511.0
139,France,Saudi Arabia,43705887.0
247,Korea,Chile,43598915.0
222,Italy,Thailand,34627069.0
100,Denmark,Chile,33407149.0
26,Austria,Poland,33184327.0
437,United Kingdom,Chile,29636288.0
31,Austria,South Africa,29251443.0
389,Sweden,Brazil,26653699.0
109,Finland,Brazil,25810862.0
111,Finland,Colombia,23761728.0
133,France,Kuwait,21944819.0
251,Korea,South Africa,20345015.0
16,Austria,Colombia,20231447.0
385,Spain,South Africa,19495582.0
300,Netherlands,Poland,14269465.0
161,Germany,Saudi Arabia,14096654.0
118,Finland,Poland,12233233.0
1,Australia,Chile,11512013.0
396,Sweden,Kuwait,11228374.0
0,Australia,Brazil,10843457.0
2,Australia,Colombia,10565816.0
110,Finland,Chile,9423678.0
7,Australia,Korea,7599604.0
211,Italy,Korea,7324360.0
387,Spain,Thailand,7072193.0
15,Austria,Chile,6426788.0
155,Germany,Kuwait,5859569.0
233,Japan,Kuwait,4397148.0
68,Canada,Korea,3865408.0
444,United Kingdom,Korea,3243556.0
99,Denmark,Brazil,3184580.0
101,Denmark,Colombia,3146117.0
417,Switzerland,Poland,3141751.0
324,Norway,Poland,2504790.0
28,Austria,Saudi Arabia,2145296.0
376,Spain,Korea,685941.0
449,United Kingdom,Saudi Arabia,671150.0
296,Netherlands,Korea,491792.0
212,Italy,Kuwait,327910.0
217,Italy,Saudi Arabia,277701.0
414,Switzerland,Korea,249214.0
302,Netherlands,Saudi Arabia,227521.0
326,Norway,Saudi Arabia,195375.0
250,Korea,Saudi Arabia,167923.0
23,Austria,Kuwait,124190.0
297,Netherlands,Kuwait,60454.0
43,Belgium,Korea,52608.0
120,Finland,Saudi Arabia,38710.0
377,Spain,Kuwait,20232.0
74,Canada,Saudi Arabia,16166.0
382,Spain,Saudi Arabia,14214.0
48,Belgium,Saudi Arabia,9103.0
9,Australia,Saudi Arabia,7575.0
8,Australia,Poland,3046.0
69,Canada,Kuwait,1568.0
