,donor,recipient,21030,21050,23020,32120,60040,total
0,Australia,India,2671116.0,0.0,3917484.0,24434534.0,0.0,31023134.0
1,Australia,South Africa,0.0,0.0,0.0,91287.0,0.0,91287.0
2,Australia,Thailand,36367087.0,75135.0,270795.0,26897.0,0.0,36739914.0
3,Austria,Brazil,0.0,0.0,0.0,5167098.0,0.0,5167098.0
4,Austria,Colombia,2814444.0,0.0,0.0,0.0,0.0,2814444.0
5,Austria,India,0.0,0.0,8081078.0,7202447.0,0.0,15283525.0
6,Austria,Saudi Arabia,0.0,0.0,0.0,203662.0,0.0,203662.0
7,Austria,Thailand,0.0,0.0,0.0,2281844.0,0.0,2281844.0
8,Belgium,Brazil,0.0,0.0,0.0,1152172.0,95301312.0,96453484.0
9,Belgium,Chile,0.0,0.0,0.0,522868.0,0.0,522868.0
10,Belgium,Colombia,0.0,0.0,471552.0,437122.0,0.0,908674.0
11,Belgium,India,0.0,0.0,859652.0,223779.0,0.0,1083431.0
12,Belgium,Poland,0.0,0.0,0.0,0.0,797173879.0,797173879.0
13,Belgium,South Africa,0.0,0.0,0.0,7238.0,0.0,7238.0
14,Belgium,Thailand,430774.0,125252.0,0.0,3765246.0,0.0,4321272.0
15,Canada,Brazil,17693.0,0.0,6054352.0,29748658.0,0.0,35820703.0
16,Canada,Chile,0.0,0.0,0.0,18676468.0,0.0,18676468.0
17,Canada,Colombia,0.0,0.0,0.0,23245209.0,0.0,23245209.0
18,Canada,India,159410.0,14224407.0,19357050.0,54685827.0,0.0,88426694.0
19,Canada,Poland,0.0,1476778.0,56107.0,3662485.0,0.0,5195370.0
20,Canada,South Africa,0.0,0.0,0.0,26700909.0,0.0,26700909.0
21,Canada,Thailand,0.0,443224.0,26416174.0,70008809.0,0.0,96868207.0
22,Denmark,Colombia,0.0,0.0,0.0,200450.0,0.0,200450.0
23,Denmark,India,0.0,0.0,0.0,160372258.0,0.0,160372258.0
24,Denmark,South Africa,0.0,0.0,0.0,4467244.0,0.0,4467244.0
25,Denmark,Thailand,5010773.0,0.0,593723.0,7334447.0,0.0,12938943.0
26,Finland,India,0.0,0.0,0.0,31746338.0,0.0,31746338.0
27,Finland,Poland,0.0,0.0,0.0,6313047.0,0.0,6313047.0
28,Finland,South Africa,0.0,0.0,0.0,7517.0,0.0,7517.0
29,Finland,Thailand,0.0,0.0,0.0,58111179.0,0.0,58111179.0
30,France,Brazil,111245166.0,0.0,0.0,0.0,0.0,111245166.0
31,France,Chile,138444885.0,859097.0,0.0,524894.0,0.0,139828876.0
32,France,Colombia,187097740.0,19509180.0,0.0,11935741.0,0.0,218542661.0
33,France,India,165780050.0,93048552.0,238543251.0,736412685.0,0.0,1233784538.0
34,France,Korea,22092.0,0.0,0.0,28328996.0,0.0,28351088.0
35,France,Poland,1262932.0,0.0,0.0,2174876.0,0.0,3437808.0
36,France,South Africa,1034209.0,2331311.0,0.0,0.0,0.0,3365520.0
37,France,Thailand,109211256.0,638493.0,9766637.0,23981834.0,0.0,143598220.0
38,Germany,Brazil,39749314.0,0.0,0.0,82355164.0,0.0,122104478.0
39,Germany,Chile,0.0,0.0,0.0,12253925.0,0.0,12253925.0
40,Germany,Colombia,191557984.0,15829434.0,33166434.0,53036463.0,0.0,293590315.0
41,Germany,India,284985226.0,0.0,1564258419.0,1768993054.0,0.0,3618236699.0
42,Germany,Korea,29015007.0,0.0,0.0,75072695.0,0.0,104087702.0
43,Germany,Poland,0.0,0.0,0.0,0.0,13905028436.0,13905028436.0
44,Germany,South Africa,0.0,0.0,0.0,937574.0,0.0,937574.0
45,Germany,Thailand,162391210.0,0.0,54313899.0,166368356.0,0.0,383073465.0
