donor,recipient,21030,21050,23020,32120,60040
Australia,India,2671116.0,0.0,3917484.0,24434534.0,0.0
Australia,South Africa,0.0,0.0,0.0,91287.0,0.0
Australia,Thailand,36367087.0,75135.0,270795.0,26897.0,0.0
Austria,Brazil,0.0,0.0,0.0,5167098.0,0.0
Austria,Colombia,2814444.0,0.0,0.0,0.0,0.0
Austria,India,0.0,0.0,8081078.0,7202447.0,0.0
Austria,Saudi Arabia,0.0,0.0,0.0,203662.0,0.0
Austria,Thailand,0.0,0.0,0.0,2281844.0,0.0
Belgium,Brazil,0.0,0.0,0.0,1152172.0,95301312.0
Belgium,Chile,0.0,0.0,0.0,522868.0,0.0
Belgium,Colombia,0.0,0.0,471552.0,437122.0,0.0
Belgium,India,0.0,0.0,859652.0,223779.0,0.0
Belgium,Poland,0.0,0.0,0.0,0.0,797173879.0
Belgium,South Africa,0.0,0.0,0.0,7238.0,0.0
Belgium,Thailand,430774.0,125252.0,0.0,3765246.0,0.0
Canada,Brazil,17693.0,0.0,6054352.0,29748658.0,0.0
Canada,Chile,0.0,0.0,0.0,18676468.0,0.0
Canada,Colombia,0.0,0.0,0.0,23245209.0,0.0
Canada,India,159410.0,14224407.0,19357050.0,54685827.0,0.0
Canada,Poland,0.0,1476778.0,56107.0,3662485.0,0.0
Canada,South Africa,0.0,0.0,0.0,26700909.0,0.0
Canada,Thailand,0.0,443224.0,26416174.0,70008809.0,0.0
Denmark,Colombia,0.0,0.0,0.0,200450.0,0.0
Denmark,India,0.0,0.0,0.0,160372258.0,0.0
Denmark,South Africa,0.0,0.0,0.0,4467244.0,0.0
Denmark,Thailand,5010773.0,0.0,593723.0,7334447.0,0.0
Finland,India,0.0,0.0,0.0,31746338.0,0.0
Finland,Poland,0.0,0.0,0.0,6313047.0,0.0
Finland,South Africa,0.0,0.0,0.0,7517.0,0.0
Finland,Thailand,0.0,0.0,0.0,58111179.0,0.0
France,Brazil,111245166.0,0.0,0.0,0.0,0.0
France,Chile,138444885.0,859097.0,0.0,524894.0,0.0
France,Colombia,187097740.0,19509180.0,0.0,11935741.0,0.0
France,India,165780050.0,93048552.0,238543251.0,736412685.0,0.0
France,Korea,22092.0,0.0,0.0,28328996.0,0.0
France,Poland,1262932.0,0.0,0.0,2174876.0,0.0
France,South Africa,1034209.0,2331311.0,0.0,0.0,0.0
France,Thailand,109211256.0,638493.0,9766637.0,23981834.0,0.0
Germany,Brazil,39749314.0,0.0,0.0,82355164.0,0.0
Germany,Chile,0.0,0.0,0.0,12253925.0,0.0
Germany,Colombia,191557984.0,15829434.0,33166434.0,53036463.0,0.0
Germany,India,284985226.0,0.0,1564258419.0,1768993054.0,0.0
Germany,Korea,29015007.0,0.0,0.0,75072695.0,0.0
Germany,Poland,0.0,0.0,0.0,0.0,13905028436.0
Germany,South Africa,0.0,0.0,0.0,937574.0,0.0
Germany,Thailand,162391210.0,0.0,54313899.0,166368356.0,0.0
Italy,Brazil,0.0,0.0,15677.0,780657.0,0.0
Italy,Chile,0.0,0.0,0.0,569118.0,0.0
Italy,Colombia,0.0,12425310.0,30399251.0,8956908.0,0.0
Italy,India,0.0,0.0,0.0,254284699.0,0.0
Italy,Poland,1342614.0,0.0,0.0,5914647.0,0.0
Italy,Thailand,1488852.0,0.0,0.0,0.0,0.0
Japan,Brazil,1249130.0,100165.0,0.0,301942282.0,0.0
Japan,Chile,67201891.0,0.0,0.0,5379848.0,0.0
Japan,Colombia,26351.0,23.0,0.0,161290.0,0.0
Japan,India,11519785524.0,0.0,4087006797.0,2540561929.0,0.0
Japan,Korea,903052049.0,0.0,0.0,508053866.0,0.0
Japan,Saudi Arabia,0.0,0.0,0.0,222224525.0,0.0
Japan,South Africa,65416241.0,0.0,0.0,185091.0,0.0
Japan,Thailand,5249205847.0,2648319527.0,22364340.0,1348021971.0,0.0
Korea,Brazil,0.0,0.0,0.0,123207.0,0.0
Korea,Chile,0.0,28586.0,0.0,0.0,0.0
Korea,Colombia,58854.0,0.0,0.0,344229.0,0.0
Korea,Thailand,111908.0,52335.0,109423.0,1096198.0,0.0
Kuwait,India,0.0,0.0,149282062.0,131175647.0,0.0
Kuwait,Thailand,0.0,0.0,65310902.0,0.0,0.0
Netherlands,Colombia,0.0,0.0,0.0,2025344.0,0.0
Netherlands,India,42065271.0,704628.0,724396.0,50767936.0,0.0
Netherlands,South Africa,0.0,0.0,0.0,1380782.0,0.0
Netherlands,Thailand,0.0,0.0,0.0,13813129.0,0.0
Norway,Brazil,0.0,0.0,0.0,80831.0,0.0
Norway,Chile,0.0,0.0,0.0,392917.0,0.0
Norway,India,0.0,2316419.0,322.0,160646315.0,0.0
Norway,South Africa,24172.0,13527.0,13640.0,15424548.0,0.0
Norway,Thailand,0.0,60502.0,0.0,6304303.0,0.0
Saudi Arabia,India,79371799.0,0.0,0.0,0.0,0.0
Saudi Arabia,Thailand,0.0,0.0,95676536.0,0.0,0.0
Spain,Brazil,140375.0,140677.0,0.0,1110417.0,0.0
Spain,Chile,0.0,20706.0,0.0,2505456.0,0.0
Spain,Colombia,0.0,470750.0,0.0,3329991.0,0.0
Spain,India,19497.0,6797785.0,0.0,1386496.0,0.0
Spain,Thailand,0.0,0.0,0.0,32435.0,0.0
Sweden,Chile,0.0,0.0,0.0,1084383.0,0.0
Sweden,India,4306879.0,0.0,26060699.0,12572753.0,0.0
Sweden,Poland,383.0,250129.0,0.0,589007.0,0.0
Sweden,South Africa,0.0,0.0,64374.0,1198432.0,0.0
Sweden,Thailand,0.0,0.0,0.0,13259316.0,0.0
Switzerland,Brazil,0.0,0.0,0.0,1034972.0,0.0
Switzerland,Chile,0.0,0.0,0.0,1984348.0,0.0
Switzerland,Colombia,0.0,0.0,0.0,743149.0,0.0
Switzerland,India,0.0,0.0,0.0,76369785.0,0.0
Switzerland,South Africa,0.0,0.0,0.0,2665028.0,0.0
Switzerland,Thailand,0.0,0.0,6063103.0,0.0,0.0
United Kingdom,Brazil,0.0,0.0,98816805.0,39174808.0,0.0
United Kingdom,Colombia,0.0,0.0,10098161.0,1214104.0,0.0
United Kingdom,India,214915085.0,226060281.0,621381168.0,141881911.0,0.0
United Kingdom,Poland,411633.0,2702617.0,0.0,37674165.0,0.0
United Kingdom,South Africa,0.0,0.0,68659652.0,29567081.0,0.0
United Kingdom,Thailand,12874688.0,0.0,0.0,123175026.0,0.0
United States,Brazil,309560040.0,3456194517.0,999174363.0,1785108528.0,0.0
United States,Chile,16601.0,777158312.0,67384606.0,675643062.0,0.0
United States,Colombia,154388.0,221288646.0,1530577061.0,789030171.0,0.0
United States,India,35997362.0,2273859378.0,1518862446.0,1295117393.0,0.0
United States,Korea,105533013.0,5260158081.0,1397886659.0,866792664.0,0.0
United States,Kuwait,0.0,0.0,24748632.0,278059881.0,0.0
United States,Poland,0.0,815085967.0,396007.0,548534715.0,0.0
United States,Saudi Arabia,386553.0,3423114025.0,126190249.0,254167658.0,0.0
United States,South Africa,533570.0,840454769.0,1620571.0,9681699.0,0.0
United States,Thailand,18742.0,1378790278.0,619621837.0,1460262364.0,0.0
