year,,year,donor,recipient,amount
1973,49,1973,United States,Korea,669412334.0
1973,31,1973,Japan,Korea,488150600.0
1973,7,1973,Canada,India,434585042.0
1973,46,1973,United States,Colombia,417531870.0
1973,30,1973,Japan,India,336622699.0
1973,15,1973,Germany,India,291616992.0
1973,48,1973,United States,India,258800080.0
1973,16,1973,Germany,Korea,204845310.0
1973,42,1973,United Kingdom,India,199053950.0
1973,9,1973,France,India,180411934.0
1973,36,1973,Sweden,India,168369255.0
1973,44,1973,United States,Brazil,160481857.0
1973,22,1973,Italy,India,156759280.0
1973,40,1973,United Kingdom,Brazil,142180565.0
1973,34,1973,Netherlands,India,141216992.0
1973,41,1973,United Kingdom,Colombia,72910880.0
1973,10,1973,France,Thailand,66777621.0
1973,29,1973,Japan,Chile,57555712.0
1973,32,1973,Japan,Thailand,56444958.0
1973,0,1973,Australia,India,36565064.0
1973,35,1973,Norway,India,35874848.0
1973,4,1973,Belgium,India,32709447.0
1973,43,1973,United Kingdom,Thailand,28433794.0
1973,50,1973,United States,Thailand,28226870.0
1973,13,1973,Germany,Colombia,26441058.0
1973,33,1973,Netherlands,Colombia,21533953.0
1973,17,1973,Germany,Thailand,17657743.0
1973,12,1973,Germany,Chile,16477827.0
1973,39,1973,Switzerland,India,12670951.0
1973,45,1973,United States,Chile,10181836.0
1973,2,1973,Australia,Thailand,8558787.0
1973,3,1973,Belgium,Colombia,6541889.0
1973,11,1973,Germany,Brazil,4346101.0
1973,19,1973,Italy,Chile,3840703.0
1973,18,1973,Italy,Brazil,3840703.0
1973,6,1973,Canada,Colombia,2285478.0
1973,20,1973,Italy,Colombia,1360520.0
1973,38,1973,Switzerland,Colombia,1339137.0
1973,1,1973,Australia,Korea,1162012.0
1973,5,1973,Canada,Brazil,983055.0
1973,24,1973,Italy,Kuwait,325483.0
1973,28,1973,Japan,Brazil,191911.0
1973,26,1973,Italy,Thailand,188780.0
1973,23,1973,Italy,Korea,136703.0
1973,8,1973,Canada,Thailand,74852.0
1973,25,1973,Italy,Saudi Arabia,65097.0
1973,37,1973,Switzerland,Brazil,50853.0
1974,92,1974,United Kingdom,India,1392015957.0
1974,73,1974,Japan,Korea,1313243777.0
1974,74,1974,Japan,Thailand,824079888.0
1974,72,1974,Japan,India,591141107.0
1974,68,1974,Germany,India,496039647.0
1974,98,1974,United States,India,372006028.0
